Registration,Latitude,Longitude,Altitude,Timestamp,Wind speed,Temperature,Position accuracy,NAV redundancy,TCAS,Mach speed,Vertical speed,ETA
A6-BLJ,11.124858856201172,50.860862731933594,36992.0 ft,2023-07-07 15:09:36.500,,,<0.05 nm,OK,OK,0.837,16.0 ft/min,
EC-NGT,42.027854919433594,-15.586509704589844,36000.0 ft,2023-07-07 15:11:03.000,71.0 kt,-49.25 C,<0.05 nm,OK,OK,0.8465,0.0 ft/min,2023-07-07 15:37:57.000
ET-ARI,9.197616577148438,47.114009857177734,35000.0 ft,2023-07-07 15:12:05.750,,,<0.25 nm,OK,OK,0.827,0.0 ft/min,
F-HTYQ,45.032958984375,-19.923534393310547,40992.0 ft,2023-07-07 15:16:24.000,25.5 kt,-45.75 C,<0.05 nm,OK,OK,0.8545,16.0 ft/min,2023-07-07 15:43:52.000
A6-BLJ,12.009601593017578,51.40708923339844,37000.0 ft,2023-07-07 15:17:36.500,,,<0.05 nm,OK,OK,0.8365,-16.0 ft/min,
B-322Z,-13.674030303955078,68.58575820922852,37004.0 ft,2023-07-07 15:19:19.000,,,<0.05 nm,OK,OK,0.8505,0.0 ft/min,2023-07-07 15:32:41.000
ET-ASI,-7.252178192138672,-5.619850158691406,39996.0 ft,2023-07-07 15:20:05.375,,,<0.05 nm,OK,OK,0.842,0.0 ft/min,
G-VIIH,46.124725341796875,-26.179561614990234,36000.0 ft,2023-07-07 15:23:41.250,88.0 kt,-53.5 C,<0.25 nm,OK,OK,0.8465,-16.0 ft/min,2023-07-07 15:49:34.250
D-ABUK,70.9141731262207,-24.278583526611328,35000.0 ft,2023-07-07 15:24:47.000,42.0 kt,-48.75 C,<0.05 nm,OK,OK,0.8025,80.0 ft/min,2023-07-07 16:08:50.000
F-HTYQ,45.74604034423828,-18.23902130126953,41004.0 ft,2023-07-07 15:26:00.000,17.5 kt,-45.75 C,<0.05 nm,OK,OK,0.856,0.0 ft/min,2023-07-07 15:43:45.000
F-HSIS,45.840797424316406,-15.887947082519531,38004.0 ft,2023-07-07 15:27:32.000,42.5 kt,-45.25 C,<0.05 nm,OK,OK,0.8485,-16.0 ft/min,2023-07-07 15:50:57.000
ET-ATK,11.47024154663086,47.52702713012695,38996.0 ft,2023-07-07 15:44:34.375,,,<0.05 nm,OK,OK,0.844,0.0 ft/min,
C-GUDO,63.87228012084961,-23.755531311035156,37992.0 ft,2023-07-07 15:46:11.625,27.5 kt,-43.5 C,<0.05 nm,OK,OK,0.8455,16.0 ft/min,2023-07-07 16:07:29.625
F-HSIS,45.14934539794922,-19.32769775390625,38000.0 ft,2023-07-07 15:46:43.000,36.5 kt,-43.75 C,<0.05 nm,OK,OK,0.8525,0.0 ft/min,2023-07-07 15:50:40.000
D-AIXD,61.655616760253906,-14.971961975097656,38004.0 ft,2023-07-07 15:46:54.000,14.0 kt,-42.0 C,<0.05 nm,OK,OK,0.851,-16.0 ft/min,2023-07-07 16:05:49.000
N880BJ,42.624549865722656,-16.02132797241211,36000.0 ft,2023-07-07 15:51:23.750,67.0 kt,-49.75 C,<0.05 nm,OK,OK,0.8485,0.0 ft/min,2023-07-07 16:16:17.750
D-ABVW,62.207679748535156,0.8655166625976562,32008.0 ft,2023-07-07 15:52:16.000,45.5 kt,-48.75 C,<0.25 nm,OK,OK,0.83,-16.0 ft/min,2023-07-07 15:59:18.000
F-HTYR,45.026607513427734,-12.897262573242188,36000.0 ft,2023-07-07 16:01:16.000,88.0 kt,-52.5 C,<0.05 nm,OK,OK,0.8545,0.0 ft/min,2023-07-07 16:02:04.000
F-HTYP,60.647621154785156,-15.788383483886719,41004.0 ft,2023-07-07 16:04:15.000,19.0 kt,-43.0 C,<0.05 nm,OK,OK,0.854,0.0 ft/min,2023-07-07 16:09:55.000
F-HHAV,40.470542907714844,-19.409408569335938,37504.0 ft,2023-07-07 16:06:02.000,58.5 kt,-51.0 C,<0.05 nm,OK,OK,0.8505,16.0 ft/min,2023-07-07 16:11:24.000
SE-RSD,64.08153533935547,-6.582698822021484,41004.0 ft,2023-07-08 07:18:48.000,12.5 kt,-51.5 C,<0.05 nm,OK,OK,0.85,0.0 ft/min,2023-07-08 07:44:56.000
N841AN,42.689781188964844,-14.680137634277344,36996.0 ft,2023-07-08 07:32:48.500,77.0 kt,-52.25 C,<0.05 nm,OK,OK,0.847,0.0 ft/min,2023-07-08 07:36:17.500
F-OLRE,2.3054122924804688,45.248050689697266,35000.0 ft,2023-07-08 07:43:33.625,,,<0.25 nm,OK,OK,0.8515,16.0 ft/min,
F-OLRE,2.0359039306640625,45.259552001953125,35000.0 ft,2023-07-08 07:45:33.625,,,<0.25 nm,OK,OK,0.8515,-16.0 ft/min,
F-OLRE,1.855316162109375,45.32203674316406,35000.0 ft,2023-07-08 07:46:59.625,,,<0.25 nm,OK,OK,0.849,0.0 ft/min,
F-OLRE,1.5406608581542969,45.457305908203125,35000.0 ft,2023-07-08 07:49:33.750,,,<0.25 nm,OK,OK,0.847,0.0 ft/min,
N12010,43.93552780151367,-19.575748443603516,39004.0 ft,2023-07-08 07:52:45.000,55.5 kt,-47.0 C,<0.05 nm,OK,OK,0.8575,0.0 ft/min,2023-07-08 08:24:11.000
F-OLRE,1.0467910766601562,45.669307708740234,35000.0 ft,2023-07-08 07:53:33.750,,,<0.25 nm,OK,OK,0.8505,-32.0 ft/min,
D-ABYQ,66.47089004516602,-16.946239471435547,37000.0 ft,2023-07-08 07:54:40.000,9.0 kt,-49.75 C,<0.25 nm,OK,OK,0.8525,0.0 ft/min,2023-07-08 08:18:05.000
F-OLRE,0.7994270324707031,45.77556610107422,34996.0 ft,2023-07-08 07:55:33.750,,,<0.25 nm,OK,OK,0.8625,16.0 ft/min,
SP-LSG,-13.144283294677734,48.044586181640625,10896.0 ft,2023-07-08 07:56:11.125,30.0 kt,503.5 C,<0.05 nm,OK,OK,0.525,1168.0 ft/min,2023-07-08 08:12:49.125
